TITLE,c
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/07/09
TIME,17:28:58
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  800.0000
LASTX,  200.0000
NPOINTS,    3001
FIRSTY,     0.00076
MAXY,     0.74634
MINY,    -0.00008
XYDATA
659.2000,1.46847E-005
659.0000,1.12225E-005
658.8000,1.2297E-005
658.6000,5.31277E-006
658.4000,-4.17858E-007
658.2000,-5.0143E-006
658.0000,-3.93981E-006
657.8000,-4.59644E-006
657.6000,-5.73063E-006
657.4000,-2.86531E-006
657.2000,-2.86531E-006
657.0000,-4.41736E-006
656.8000,-1.31327E-006
656.6000,-1.13419E-006
656.4000,-2.86531E-006
656.2000,-5.07399E-006
656.0000,-5.49185E-006
655.8000,-7.93931E-006
655.6000,-1.39087E-005
655.4000,-1.49832E-005
655.2000,-1.49235E-005
655.0000,-1.31924E-005
654.8000,-1.42669E-005
654.6000,-1.45057E-005
654.4000,-1.45057E-005
654.2000,-1.25358E-005
654.0000,-1.18791E-005
653.8000,-1.20582E-005
653.6000,-1.27745E-005
653.4000,-1.49832E-005
653.2000,-1.60577E-005
653.0000,-1.36102E-005
652.8000,-1.39087E-005
652.6000,-1.3849E-005
652.4000,-9.43166E-006
652.2000,-7.46176E-006
652.0000,-6.20818E-006
651.8000,-6.56635E-006
651.6000,-6.80512E-006
651.4000,-7.87961E-006
651.2000,-7.76023E-006
651.0000,-1.51623E-005
650.8000,-1.71919E-005
650.6000,-2.22062E-005
650.4000,-2.85935E-005
650.2000,-3.34287E-005
650.0000,-3.91593E-005
649.8000,-4.99639E-005
649.6000,-5.5217E-005
649.4000,-5.61124E-005
649.2000,-5.99328E-005
649.0000,-6.45293E-005
648.8000,-6.28578E-005
648.6000,-6.52456E-005
648.4000,-7.25283E-005
648.2000,-7.39012E-005
648.0000,-7.18716E-005
647.8000,-7.03196E-005
647.6000,-7.56324E-005
647.4000,-7.84977E-005
647.2000,-7.40803E-005
647.0000,-7.18716E-005
646.8000,-7.14538E-005
646.6000,-6.83497E-005
646.4000,-6.88272E-005
646.2000,-7.01405E-005
646.0000,-7.01405E-005
645.8000,-7.16926E-005
645.6000,-7.65278E-005
645.4000,-7.93931E-005
645.2000,-7.61099E-005
645.0000,-7.74232E-005
644.8000,-8.05273E-005
644.6000,-8.09451E-005
644.4000,-7.7662E-005
644.2000,-7.25283E-005
644.0000,-7.40803E-005
643.8000,-7.23492E-005
643.6000,-6.83497E-005
643.4000,-6.66186E-005
643.2000,-6.37533E-005
643.0000,-5.97537E-005
642.8000,-5.46798E-005
642.6000,-5.09787E-005
642.4000,-5.20532E-005
642.2000,-5.05012E-005
642.0000,-5.4441E-005
641.8000,-5.55752E-005
641.6000,-5.66497E-005
641.4000,-5.64706E-005
641.2000,-5.90971E-005
641.0000,-6.04701E-005
640.8000,-5.86196E-005
640.6000,-5.77838E-005
640.4000,-5.97537E-005
640.2000,-5.99925E-005
640.0000,-5.82614E-005
639.8000,-5.5217E-005
639.6000,-5.6769E-005
639.4000,-5.79032E-005
639.2000,-5.05609E-005
639.0000,-4.3517E-005
638.8000,-3.91593E-005
638.6000,-3.60552E-005
638.4000,-2.9847E-005
638.2000,-2.80562E-005
638.0000,-1.89827E-005
637.8000,-1.61174E-005
637.6000,-1.50429E-005
637.4000,-1.03868E-005
637.2000,-9.55105E-006
637.0000,-6.86482E-006
636.8000,-3.10409E-006
636.6000,-5.49185E-006
636.4000,-8.35717E-006
636.2000,-5.73063E-006
636.0000,-9.55105E-006
635.8000,-1.28342E-005
635.6000,-8.83472E-006
635.4000,-1.03868E-005
635.2000,-1.68337E-005
635.0000,-1.70128E-005
634.8000,-2.09526E-005
634.6000,-2.537E-005
634.4000,-2.60863E-005
634.2000,-3.22348E-005
634.0000,-3.11603E-005
633.8000,-3.35481E-005
633.6000,-3.68909E-005
633.4000,-3.90996E-005
633.2000,-3.90996E-005
633.0000,-4.20246E-005
632.8000,-4.39945E-005
632.6000,-4.57256E-005
632.4000,-5.06206E-005
632.2000,-5.08593E-005
632.0000,-4.70389E-005
631.8000,-4.97251E-005
