TITLE	Azo-Br-0min
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/07/04
TIME	15:17:27
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  650.0000
LASTX	  300.0000
NPOINTS	    1751
FIRSTY	    -0.00028
MAXY	     0.38715
MINY	    -0.00036
XYDATA
630.0000	-0.000281637
629.8000	-0.000286233
629.6000	-0.000301216
629.4000	-0.000289755
629.2000	-0.00029465
629.0000	-0.000283905
628.8000	-0.000301395
628.6000	-0.000264146
628.4000	-0.00026528
628.2000	-0.000288442
628.0000	-0.000246477
627.8000	-0.000244029
627.6000	-0.00024982
627.4000	-0.000263191
627.2000	-0.000264385
627.0000	-0.00025555
626.8000	-0.000254177
626.6000	-0.000266832
626.4000	-0.000274652
626.2000	-0.000246417
626.0000	-0.000230121
625.8000	-0.000242298
625.6000	-0.000238597
625.4000	-0.00025746
625.2000	-0.000283666
625.0000	-0.000289277
624.8000	-0.000271548
624.6000	-0.000258416
624.4000	-0.0002731
624.2000	-0.000272205
624.0000	-0.000233881
623.8000	-0.000223554
623.6000	-0.000254894
623.4000	-0.000264266
623.2000	-0.000250655
623.0000	-0.000261221
622.8000	-0.000288322
622.6000	-0.000275488
622.4000	-0.000266116
622.2000	-0.000280622
622.0000	-0.00028104
621.8000	-0.000276622
621.6000	-0.000261699
621.4000	-0.000249044
621.2000	-0.000241403
621.0000	-0.000251193
620.8000	-0.000254894
620.6000	-0.000233463
620.4000	-0.000227793
620.2000	-0.000242776
620.0000	-0.000245104
619.8000	-0.000277339
619.6000	-0.000268922
619.4000	-0.000213048
619.2000	-0.000225703
619.0000	-0.000242059
618.8000	-0.000255192
618.6000	-0.000255252
618.4000	-0.000245223
618.2000	-0.000253282
618.0000	-0.000246536
617.8000	-0.000236806
617.6000	-0.000258595
617.4000	-0.000276383
617.2000	-0.000242776
617.0000	-0.000248208
616.8000	-0.000251013
616.6000	-0.000228986
616.4000	-0.000220331
616.2000	-0.000224509
616.0000	-0.000231553
615.8000	-0.00023412
615.6000	-0.00024588
615.4000	-0.000230359
615.2000	-0.000222659
615.0000	-0.000236269
614.8000	-0.000252625
614.6000	-0.000236448
614.4000	-0.000219853
614.2000	-0.000225942
614.0000	-0.000257102
613.8000	-0.000256864
613.6000	-0.000211377
613.4000	-0.000228986
613.2000	-0.000230658
613.0000	-0.000199259
612.8000	-0.000237881
612.6000	-0.000299724
612.4000	-0.000261758
612.2000	-0.000202243
612.0000	-0.000250536
611.8000	-0.000267847
611.6000	-0.000236269
611.4000	-0.000226897
611.2000	-0.000227554
611.0000	-0.000228091
610.8000	-0.000215675
610.6000	-0.000217525
610.4000	-0.000202064
610.2000	-0.00017956
610.0000	-0.000177709
609.8000	-0.000198363
609.6000	-0.000225285
609.4000	-0.000231971
609.2000	-0.000244686
609.0000	-0.000240507
608.8000	-0.000230718
608.6000	-0.000219973
608.4000	-0.000220928
608.2000	-0.000204333
608.0000	-0.000194543
607.8000	-0.00020678
607.6000	-0.00018726
607.4000	-0.000182127
607.2000	-0.000216152
607.0000	-0.000226002
606.8000	-0.000207914
606.6000	-0.000189409
606.4000	-0.000177411
606.2000	-0.000201587
606.0000	-0.000196214
605.8000	-0.00019502
605.6000	-0.000210063
605.4000	-0.000196453
605.2000	-0.00020869
605.0000	-0.000230718
604.8000	-0.000195259
604.6000	-0.000160517
604.4000	-0.000175799
604.2000	-0.000203437
604.0000	-0.000206064
603.8000	-0.000180455
603.6000	-0.00018332
603.4000	-0.000201348
603.2000	-0.000220868
603.0000	-0.000217585
602.8000	-0.000191976
602.6000	-0.000182365
602.4000	-0.000180455
602.2000	-0.000178605
602.0000	-0.000153712
601.8000	-0.000158667
601.6000	-0.000214003
601.4000	-0.000224091
601.2000	-0.000217107
601.0000	-0.000191021
600.8000	-0.000158667
600.6000	-0.000186365
600.4000	-0.000182365
600.2000	-0.000157055
600.0000	-0.000167621
599.8000	-0.000179142
599.6000	-0.000156339
599.4000	-0.000119328
599.2000	-0.000147086
599.0000	-0.000190603
598.8000	-0.00020881
598.6000	-0.000195379
598.4000	-0.000155682
598.2000	-0.000153772
598.0000	-0.000165293
597.8000	-0.000152876
597.6000	-0.000182723
597.4000	-0.000203855
597.2000	-0.000164159
597.0000	-0.000161771
596.8000	-0.00017168
596.6000	-0.000147683
596.4000	-0.000142728
596.2000	-0.000135923
596.0000	-0.000151742
595.8000	-0.000180395
595.6000	-0.000158726
595.4000	-0.000155682
595.2000	-0.000181052
595.0000	-0.00016201
594.8000	-0.00013855
594.6000	-0.000147206
594.4000	-0.000156816
594.2000	-0.000123209
594.0000	-8.88844E-005
593.8000	-0.000116165
593.6000	-0.000141594
593.4000	-0.000142072
593.2000	-0.000144877
593.0000	-0.000143922
592.8000	-0.000129357
592.6000	-0.000108882
592.4000	-0.000137058
592.2000	-0.000156876
592.0000	-0.000145773
591.8000	-0.000148399
591.6000	-0.000127924
591.4000	-9.84952E-005
591.2000	-0.000119687
591.0000	-0.000139983
590.8000	-0.000124999
590.6000	-0.00014243
590.4000	-0.000108285
590.2000	-8.48252E-005
590.0000	-9.44957E-005
589.8000	-7.94528E-005
589.6000	-7.16329E-005
589.4000	-0.000112702
589.2000	-0.000151324
589.0000	-0.00015419
588.8000	-0.000166188
588.6000	-0.000137416
588.4000	-0.00010918
588.2000	-0.000108703
588.0000	-9.00186E-005
587.8000	-9.87937E-005
587.6000	-9.99278E-005
587.4000	-7.99303E-005
587.2000	-7.71247E-005
587.0000	-3.90996E-005
586.8000	-3.82042E-005
586.6000	-7.18716E-005
586.4000	-8.22584E-005
586.2000	-9.951E-005
586.0000	-0.000123507
585.8000	-7.65875E-005
585.6000	-4.85313E-005
585.4000	-7.68262E-005
585.2000	-6.88272E-005
585.0000	-5.96344E-005
584.8000	-7.35431E-005
584.6000	-5.32471E-005
584.4000	-3.77266E-005
584.2000	-5.34859E-005
584.0000	-6.62007E-005
583.8000	-5.93956E-005
583.6000	-3.67715E-005
583.4000	-3.74879E-005
583.2000	-1.19985E-005
583.0000	-1.97587E-005
582.8000	-4.81134E-005
582.6000	-4.57256E-005
582.4000	-2.52506E-005
582.2000	-3.67715E-005
582.0000	-6.48277E-005
581.8000	-5.18741E-005
581.6000	-6.1664E-005
581.4000	-6.02313E-005
581.2000	-1.6774E-005
581.0000	-1.18194E-005
580.8000	-2.62057E-005
580.6000	-2.52506E-005
580.4000	-2.59669E-005
580.2000	-1.41475E-005
580.0000	-1.91618E-005
579.8000	-5.79032E-005
579.6000	-3.40256E-005
579.4000	2.08929E-006
579.2000	4.77552E-007
579.0000	1.30133E-005
578.8000	9.90921E-006
578.6000	-1.27745E-005
578.4000	-4.20843E-005
578.2000	-4.88894E-005
578.0000	8.23778E-006
577.8000	5.61721E-005
577.6000	1.32521E-005
577.4000	4.0592E-006
577.2000	4.17858E-005
577.0000	3.16975E-005
576.8000	2.71608E-005
576.6000	3.47419E-005
576.4000	2.66832E-005
576.2000	5.52767E-005
576.0000	5.12772E-005
575.8000	1.03868E-005
575.6000	3.68312E-005
575.4000	4.63226E-005
575.2000	8.14824E-005
575.0000	0.000105599
574.8000	6.73349E-005
574.6000	4.65017E-005
574.4000	7.50951E-005
574.2000	0.000118851
574.0000	9.5212E-005
573.8000	9.90324E-005
573.6000	0.000133416
573.4000	0.000105121
573.2000	8.02885E-005
573.0000	8.38104E-005
572.8000	0.000142311
572.6000	0.000167621
572.4000	0.000148698
572.2000	0.000143027
572.0000	0.000109897
571.8000	0.00012291
571.6000	0.000166666
571.4000	0.00016977
571.2000	0.000156757
571.0000	0.000171441
570.8000	0.000167143
570.6000	0.000152757
570.4000	0.000185171
570.2000	0.000187977
570.0000	0.000182067
569.8000	0.000196513
569.6000	0.000162189
569.4000	0.000150787
569.2000	0.000200094
569.0000	0.000212332
568.8000	0.000219017
568.6000	0.000236985
568.4000	0.000230121
568.2000	0.000246954
568.0000	0.000212332
567.8000	0.000211675
567.6000	0.000266116
567.4000	0.000268265
567.2000	0.000264027
567.0000	0.000270175
566.8000	0.000247193
566.6000	0.000252625
566.4000	0.000275906
566.2000	0.000300619
566.0000	0.000318707
565.8000	0.000318527
565.6000	0.000315304
565.4000	0.000300858
565.2000	0.000300022
565.0000	0.000333929
564.8000	0.000329213
564.6000	0.000283069
564.4000	0.000316737
564.2000	0.000387653
564.0000	0.000398398
563.8000	0.000373924
563.6000	0.000388907
563.4000	0.000394637
563.2000	0.000394876
563.0000	0.000365686
562.8000	0.000363716
562.6000	0.000414098
562.4000	0.000410994
562.2000	0.000410994
562.0000	0.000431648
561.8000	0.000450392
561.6000	0.000478866
561.4000	0.000463882
561.2000	0.000465554
561.0000	0.000504474
560.8000	0.000506385
560.6000	0.000508295
560.4000	0.000510444
560.2000	0.000498087
560.0000	0.000501908
559.8000	0.000536172
559.6000	0.000562378
559.4000	0.000526143
559.2000	0.00052095
559.0000	0.000549782
558.8000	0.000587807
558.6000	0.000596224
558.4000	0.000571869
558.2000	0.000604701
558.0000	0.000618251
557.8000	0.000642069
557.6000	0.000691496
557.4000	0.000697226
557.2000	0.000678841
557.0000	0.000664395
556.8000	0.000656635
556.6000	0.000666126
556.4000	0.000689466
556.2000	0.00070427
556.0000	0.000695794
555.8000	0.000714657
555.6000	0.000742236
555.4000	0.000789573
555.2000	0.000779545
555.0000	0.00075125
554.8000	0.00077453
554.6000	0.000781932
554.4000	0.000837388
554.2000	0.000887651
554.0000	0.000901559
553.8000	0.000895172
553.6000	0.00086622
553.4000	0.000841567
553.2000	0.000869444
553.0000	0.000950449
552.8000	0.000928123
552.6000	0.000908006
552.4000	0.000950926
552.2000	0.000971759
552.0000	0.000966745
551.8000	0.000953254
551.6000	0.00101044
551.4000	0.00104578
551.2000	0.00101253
551.0000	0.0010228
550.8000	0.00106852
550.6000	0.0010567
550.4000	0.00106823
550.2000	0.0011155
550.0000	0.00115078
549.8000	0.0011192
549.6000	0.00108661
549.4000	0.0011315
549.2000	0.00117173
549.0000	0.00118785
548.8000	0.00117108
548.6000	0.00117932
548.4000	0.00119537
548.2000	0.00123513
548.0000	0.00128056
547.8000	0.00127256
547.6000	0.00129041
547.4000	0.001291
547.2000	0.00132252
547.0000	0.00133333
546.8000	0.00130312
546.6000	0.00136783
546.4000	0.0013966
546.2000	0.00136783
546.0000	0.00138025
545.8000	0.00141875
545.6000	0.00143045
545.4000	0.00143051
545.2000	0.00144973
545.0000	0.00146746
544.8000	0.00150716
544.6000	0.00156261
544.4000	0.00159341
544.2000	0.00160499
544.0000	0.00160613
543.8000	0.00159258
543.6000	0.00161896
543.4000	0.00167131
543.2000	0.0017131
543.0000	0.00172623
542.8000	0.00172086
542.6000	0.00176163
542.4000	0.00179321
542.2000	0.0017707
542.0000	0.00178473
541.8000	0.00183016
541.6000	0.00185851
541.4000	0.00190884
541.2000	0.00194585
541.0000	0.001924
540.8000	0.00193158
540.6000	0.00197002
540.4000	0.00199193
540.2000	0.00200823
540.0000	0.00203855
539.8000	0.00207449
539.6000	0.00208458
539.4000	0.00209663
539.2000	0.00211013
539.0000	0.00213609
538.8000	0.00217268
538.6000	0.00218976
538.4000	0.00223745
538.2000	0.00224903
538.0000	0.00221793
537.8000	0.00224485
537.6000	0.00230526
537.4000	0.00233368
537.2000	0.00230831
537.0000	0.00232819
536.8000	0.00242328
536.6000	0.00247104
536.4000	0.00244453
536.2000	0.00246262
536.0000	0.00251342
535.8000	0.00252786
535.6000	0.00258284
535.4000	0.00265334
535.2000	0.00264021
535.0000	0.00265501
534.8000	0.00270659
534.6000	0.0027153
534.4000	0.00270856
534.2000	0.00278532
534.0000	0.00283469
533.8000	0.00281159
533.6000	0.00288131
533.4000	0.00293713
533.2000	0.00290167
533.0000	0.00290668
532.8000	0.0029579
532.6000	0.00300261
532.4000	0.00304255
532.2000	0.00308881
532.0000	0.00314409
531.8000	0.00319077
531.6000	0.00321948
531.4000	0.00322354
531.2000	0.00323948
531.0000	0.00330162
530.8000	0.00330132
530.6000	0.00329141
530.4000	0.00337379
530.2000	0.00341247
530.0000	0.0034413
529.8000	0.00352135
529.6000	0.00356344
529.4000	0.00355496
529.2000	0.00359376
