TITLE,
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/07/01
TIME,17:50:46
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  200.0000
NPOINTS,    3501
FIRSTY,     0.00109
MAXY,    10.00000
MINY,    -0.88292
XYDATA
878.0000,0.000837687
877.8000,0.000857266
877.6000,0.000847178
877.4000,0.000832493
877.2000,0.000824912
877.0000,0.000818823
876.8000,0.000807481
876.6000,0.000801512
876.4000,0.000801631
876.2000,0.000807661
876.0000,0.00078623
875.8000,0.000761696
875.6000,0.00077459
875.4000,0.000778231
875.2000,0.000771486
875.0000,0.000762412
874.8000,0.000743907
874.6000,0.000734595
874.4000,0.000757518
874.2000,0.0007765
874.0000,0.00074134
873.8000,0.000720925
873.6000,0.00071609
873.4000,0.000688272
873.2000,0.000694898
873.0000,0.000715612
872.8000,0.000706419
872.6000,0.000688153
872.4000,0.000700808
872.2000,0.000706718
872.0000,0.000713344
871.8000,0.000710658
871.6000,0.000713225
871.4000,0.000703614
871.2000,0.000667559
871.0000,0.000658246
870.8000,0.00065353
870.6000,0.000644517
870.4000,0.000638129
870.2000,0.000654247
870.0000,0.00068284
869.8000,0.00066135
869.6000,0.000607387
869.4000,0.000592643
869.2000,0.000600522
869.0000,0.000619206
868.8000,0.000623863
868.6000,0.000604104
868.4000,0.000595448
868.2000,0.000610193
868.0000,0.000606193
867.8000,0.000624519
867.6000,0.000648874
867.4000,0.00061658
867.2000,0.000597776
867.0000,0.000584942
866.8000,0.000564049
866.6000,0.00056584
866.4000,0.000576227
866.2000,0.000579152
866.0000,0.000577659
865.8000,0.000563213
865.6000,0.000567273
865.4000,0.000563691
865.2000,0.000546499
865.0000,0.000550618
864.8000,0.0005425
864.6000,0.000538739
864.4000,0.000541843
864.2000,0.000532113
864.0000,0.000519338
863.8000,0.000531277
863.6000,0.000554438
863.4000,0.000544529
863.2000,0.000529247
863.0000,0.000543813
862.8000,0.000548469
862.6000,0.000518503
862.4000,0.000505847
862.2000,0.000517368
862.0000,0.000529486
861.8000,0.000541843
861.6000,0.000551991
861.4000,0.000533247
861.2000,0.000504773
861.0000,0.000517607
860.8000,0.000533665
860.6000,0.000535874
860.4000,0.000501549
860.2000,0.000473971
860.0000,0.000497072
859.8000,0.00051122
859.6000,0.000503758
859.4000,0.000517547
859.2000,0.000527994
859.0000,0.000501729
858.8000,0.000506206
858.6000,0.000507161
858.4000,0.000501967
858.2000,0.00053068
858.0000,0.000522741
857.8000,0.000516413
857.6000,0.000527098
857.4000,0.000490088
857.2000,0.000475941
857.0000,0.000495401
856.8000,0.000500475
856.6000,0.000498983
856.4000,0.000476955
856.2000,0.000451287
856.0000,0.000481552
855.8000,0.000480716
855.6000,0.000473374
855.4000,0.000500117
855.2000,0.000480179
855.0000,0.000481373
854.8000,0.00047803
854.6000,0.000466509
854.4000,0.000479164
854.2000,0.000472896
854.0000,0.00043511
853.8000,0.000432006
853.6000,0.000455525
853.4000,0.000467166
853.2000,0.000461196
853.0000,0.000459047
852.8000,0.00048
852.6000,0.000465196
852.4000,0.000438453
852.2000,0.000433379
852.0000,0.000439348
851.8000,0.000428723
851.6000,0.000403771
851.4000,0.000430931
851.2000,0.00046048
851.0000,0.000445198
850.8000,0.000439766
850.6000,0.000438154
850.4000,0.00045266
850.2000,0.000445915
850.0000,0.000438095
849.8000,0.000433558
849.6000,0.000428365
849.4000,0.000463584
849.2000,0.000469733
849.0000,0.000455645
848.8000,0.000457615
848.6000,0.000458749
848.4000,0.000464897
848.2000,0.000428245
848.0000,0.000399353
847.8000,0.00041947
847.6000,0.000442393
847.4000,0.000453197
847.2000,0.000422873
847.0000,0.000425678
846.8000,0.000406218
846.6000,0.000378401
846.4000,0.000389504
846.2000,0.000400965
846.0000,0.000394279
845.8000,0.000392488
845.6000,0.000401442
845.4000,0.00040777
845.2000,0.000414157
845.0000,0.000423231
844.8000,0.000418754
844.6000,0.000400249
844.4000,0.000392011
844.2000,0.000374819
844.0000,0.000356553
843.8000,0.000371536
843.6000,0.000420425
843.4000,0.000442691
843.2000,0.00043123
843.0000,0.000409322
842.8000,0.000410038
842.6000,0.000405621
842.4000,0.000420545
842.2000,0.000437498
842.0000,0.000415471
841.8000,0.00038055
841.6000,0.000362641
841.4000,0.000373267
841.2000,0.000396548
841.0000,0.0003981
840.8000,0.000379177
840.6000,0.000371058
840.4000,0.000355896
840.2000,0.000338704
840.0000,0.000382221
839.8000,0.000409143
839.6000,0.000390877
839.4000,0.000384967
839.2000,0.000382699
839.0000,0.000377923
838.8000,0.000370163
838.6000,0.000380311
838.4000,0.000371058
838.2000,0.000370461
838.0000,0.000381505
837.8000,0.000356194
837.6000,0.000336973
837.4000,0.000355717
837.2000,0.000369029
837.0000,0.000383355
836.8000,0.000380729
836.6000,0.000374401
836.4000,0.000358164
836.2000,0.000329332
836.0000,0.000362403
835.8000,0.000392309
835.6000,0.000373446
835.4000,0.000353329
835.2000,0.000350703
835.0000,0.000350643
834.8000,0.000354642
834.6000,0.000367477
834.4000,0.000382937
834.2000,0.000392011
834.0000,0.000366462
833.8000,0.00032772
833.6000,0.000336555
833.4000,0.000362104
833.2000,0.000339599
833.0000,0.000324855
832.8000,0.000335839
832.6000,0.00035506
832.4000,0.000366521
832.2000,0.000357209
832.0000,0.000373565
831.8000,0.000375774
831.6000,0.000340256
831.4000,0.000295963
831.2000,0.000296381
831.0000,0.00035309
830.8000,0.000342942
830.6000,0.000309633
830.4000,0.000317334
830.2000,0.000307365
830.0000,0.000332794
829.8000,0.00034933
829.6000,0.000339838
829.4000,0.000330108
829.2000,0.000328138
829.0000,0.000344256
828.8000,0.000354583
828.6000,0.000353031
828.4000,0.000336316
828.2000,0.000343599
828.0000,0.000349091
827.8000,0.000358582
827.6000,0.000351061
827.4000,0.000334346
827.2000,0.00033763
827.0000,0.000317572
826.8000,0.000299485
826.6000,0.000322229
826.4000,0.000324377
826.2000,0.00032199
826.0000,0.000326168
825.8000,0.000302529
825.6000,0.000321273
825.4000,0.000328616
825.2000,0.000307424
825.0000,0.000313155
824.8000,0.000312498
824.6000,0.000305872
824.4000,0.00032396
824.2000,0.00032199
824.0000,0.000313812
823.8000,0.000317393
823.6000,0.000317871
823.4000,0.000333809
823.2000,0.000327482
823.0000,0.0003005
822.8000,0.000290829
822.6000,0.000287845
822.4000,0.000265579
822.2000,0.000277935
822.0000,0.00028677
821.8000,0.000298769
821.6000,0.000319483
821.4000,0.000303126
821.2000,0.000300082
821.0000,0.000303664
820.8000,0.000306768
820.6000,0.000311901
820.4000,0.000316319
820.2000,0.000293575
820.0000,0.000287069
819.8000,0.000302291
819.6000,0.000303186
819.4000,0.000313812
819.2000,0.000322229
819.0000,0.000301216
818.8000,0.000271608
818.6000,0.000263848
818.4000,0.000293217
818.2000,0.000331063
818.0000,0.000302768
817.8000,0.000261878
817.6000,0.000258774
817.4000,0.000299246
817.2000,0.000309872
817.0000,0.000289039
816.8000,0.000287546
816.6000,0.000296978
816.4000,0.000299008
816.2000,0.000303425
816.0000,0.000327302
815.8000,0.00031226
815.6000,0.000298351
815.4000,0.000299664
815.2000,0.000271369
815.0000,0.000263669
814.8000,0.000280025
814.6000,0.000282233
814.4000,0.000291964
814.2000,0.000271847
814.0000,0.000293277
813.8000,0.000315782
813.6000,0.000282233
813.4000,0.000287307
813.2000,0.000319542
813.0000,0.000303425
812.8000,0.000266534
812.6000,0.000270713
812.4000,0.000268981
812.2000,0.00026916
812.0000,0.000275787
811.8000,0.000262117
811.6000,0.000230718
811.4000,0.000241104
811.2000,0.000269817
811.0000,0.000275846
810.8000,0.000257222
810.6000,0.000262117
810.4000,0.000289277
810.2000,0.000250178
810.0000,0.000230718
809.8000,0.000276324
809.6000,0.00029656
809.4000,0.000285039
809.2000,0.000294411
809.0000,0.000287427
808.8000,0.00028683
808.6000,0.000289218
808.4000,0.000272862
808.2000,0.000296799
808.0000,0.000284562
807.8000,0.000233643
807.6000,0.000251133
807.4000,0.000259789
807.2000,0.000251133
807.0000,0.000276861
806.8000,0.000274831
806.6000,0.000264385
806.4000,0.000266116
806.2000,0.000272862
806.0000,0.000248745
805.8000,0.000235732
805.6000,0.000255311
805.4000,0.000252088
805.2000,0.000272324
805.0000,0.000263848
804.8000,0.000234777
804.6000,0.000242119
804.4000,0.00024594
804.2000,0.000266295
804.0000,0.000275428
803.8000,0.000288979
803.6000,0.000295605
803.4000,0.000256087
803.2000,0.00024188
803.0000,0.000262534
802.8000,0.000248088
802.6000,0.000220092
802.4000,0.000239612
802.2000,0.000262176
802.0000,0.000262773
801.8000,0.000280264
801.6000,0.00027113
801.4000,0.000260087
801.2000,0.000264862
801.0000,0.000251491
800.8000,0.000240806
800.6000,0.00023412
800.4000,0.000253401
800.2000,0.000267071
800.0000,0.000258416
799.8000,0.000249342
799.6000,0.000242955
799.4000,0.000240746
799.2000,0.000246298
799.0000,0.000225882
798.8000,0.000245581
798.6000,0.000279488
798.4000,0.000261997
798.2000,0.000264445
798.0000,0.000269757
797.8000,0.000244268
797.6000,0.000236926
797.4000,0.000255132
797.2000,0.000247551
797.0000,0.000234956
796.8000,0.000247551
796.6000,0.000252028
796.4000,0.000246059
796.2000,0.000240089
796.0000,0.000240507
795.8000,0.000253998
795.6000,0.000272623
795.4000,0.000270892
795.2000,0.0002303
795.0000,0.000189767
794.8000,0.00019908
794.6000,0.000229882
794.4000,0.000230837
794.2000,0.000237463
794.0000,0.000224867
793.8000,0.000228389
793.6000,0.000242776
793.4000,0.000255013
793.2000,0.000242597
793.0000,0.000197169
792.8000,0.000216928
792.6000,0.000292561
792.4000,0.000290113
792.2000,0.000215436
792.0000,0.000199318
791.8000,0.000203079
791.6000,0.000211436
791.4000,0.00022636
791.2000,0.000224629
791.0000,0.000243014
790.8000,0.000258953
790.6000,0.000238179
790.4000,0.000242835
790.2000,0.00025943
790.0000,0.000226897
789.8000,0.000219316
789.6000,0.000270772
789.4000,0.0002848
789.2000,0.00024594
789.0000,0.000242418
788.8000,0.000254834
788.6000,0.000239731
788.4000,0.000253938
788.2000,0.000259132
788.0000,0.000254058
787.8000,0.000244029
787.6000,0.000244746
787.4000,0.000263131
787.2000,0.000278234
787.0000,0.00026737
786.8000,0.000237463
786.6000,0.000244089
786.4000,0.000250118
786.2000,0.000249879
786.0000,0.000252745
785.8000,0.000254953
785.6000,0.000247492
785.4000,0.000223495
785.2000,0.000243492
785.0000,0.000272085
784.8000,0.000245641
784.6000,0.000235254
784.4000,0.000224987
784.2000,0.000209884
784.0000,0.000227016
783.8000,0.000241701
