TITLE,231010-Ru(phen)3-100
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,23/10/10
TIME,13:52:06
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  200.0000
NPOINTS,    3501
FIRSTY,     0.00211
MAXY,     1.46183
MINY,     0.00191
XYDATA
878.2000,0.00216128
878.0000,0.00216457
877.8000,0.00216791
877.6000,0.00217292
877.4000,0.00217716
877.2000,0.00218122
877.0000,0.00218462
876.8000,0.00218898
876.6000,0.00219358
876.4000,0.00219889
876.2000,0.00220247
876.0000,0.00220695
875.8000,0.00220993
875.6000,0.00221465
875.4000,0.00222014
875.2000,0.00222486
875.0000,0.00222796
874.8000,0.00223315
874.6000,0.00223757
874.4000,0.0022402
874.2000,0.00224282
874.0000,0.00224545
873.8000,0.00224724
873.6000,0.00224838
873.4000,0.00224969
873.2000,0.00225267
873.0000,0.002255
872.8000,0.00225745
872.6000,0.00226067
872.4000,0.00226479
872.2000,0.00226772
872.0000,0.00227052
871.8000,0.00227136
871.6000,0.0022741
871.4000,0.00227673
871.2000,0.00227685
871.0000,0.00227703
870.8000,0.00227763
870.6000,0.00228091
870.4000,0.00228085
870.2000,0.00228145
870.0000,0.00228163
869.8000,0.00228419
869.6000,0.0022864
869.4000,0.00228766
869.2000,0.00228921
869.0000,0.00228909
868.8000,0.00229148
868.6000,0.00229398
868.4000,0.00229524
868.2000,0.00229607
868.0000,0.00229715
867.8000,0.00229894
867.6000,0.00230091
867.4000,0.0023033
867.2000,0.00230646
867.0000,0.00230753
866.8000,0.00230753
866.6000,0.00230819
866.4000,0.00230855
866.2000,0.00230723
866.0000,0.00230741
865.8000,0.00230759
865.6000,0.00230914
865.4000,0.00231046
865.2000,0.00231111
865.0000,0.00231308
864.8000,0.0023135
864.6000,0.00231523
864.4000,0.00231876
864.2000,0.00231786
864.0000,0.00232049
863.8000,0.00232281
863.6000,0.00232365
863.4000,0.00232425
863.2000,0.00232502
863.0000,0.0023258
862.8000,0.00232431
862.6000,0.00232437
862.4000,0.00232425
862.2000,0.00232658
862.0000,0.00232598
861.8000,0.00232717
861.6000,0.00232831
861.4000,0.00232813
861.2000,0.00232837
861.0000,0.00232902
860.8000,0.00233087
860.6000,0.00233338
860.4000,0.00233666
860.2000,0.00233917
860.0000,0.00234036
859.8000,0.00234281
859.6000,0.00234269
859.4000,0.00234472
859.2000,0.00234598
859.0000,0.00234711
858.8000,0.00234681
858.6000,0.00234795
858.4000,0.00235093
858.2000,0.00235212
858.0000,0.00235147
857.8000,0.00235427
857.6000,0.00235386
857.4000,0.00235409
857.2000,0.00235571
857.0000,0.0023566
856.8000,0.00235684
856.6000,0.00235935
856.4000,0.00236233
856.2000,0.0023646
856.0000,0.0023646
855.8000,0.00236466
855.6000,0.00236723
855.4000,0.00236973
855.2000,0.00237117
855.0000,0.00237367
854.8000,0.00237552
854.6000,0.00237588
854.4000,0.00237666
854.2000,0.0023772
854.0000,0.00237618
853.8000,0.00237785
853.6000,0.00238108
853.4000,0.00238257
853.2000,0.00238669
853.0000,0.00238908
852.8000,0.00238812
852.6000,0.00238961
852.4000,0.00239158
852.2000,0.00239266
852.0000,0.0023917
851.8000,0.0023917
851.6000,0.00239367
851.4000,0.00239409
851.2000,0.00239672
851.0000,0.0024
850.8000,0.00240221
850.6000,0.00240376
850.4000,0.00240507
850.2000,0.0024037
850.0000,0.00240328
849.8000,0.00240412
849.6000,0.00240633
849.4000,0.00240788
849.2000,0.00240788
849.0000,0.00240746
848.8000,0.00240812
848.6000,0.00241098
848.4000,0.00241057
848.2000,0.00241194
848.0000,0.00241218
847.8000,0.00241409
847.6000,0.00241636
847.4000,0.00241707
847.2000,0.00241618
847.0000,0.00241576
846.8000,0.00241283
846.6000,0.00241313
846.4000,0.0024151
846.2000,0.00241624
846.0000,0.00241713
845.8000,0.00241647
845.6000,0.00241898
845.4000,0.00242071
845.2000,0.00242203
845.0000,0.00242256
844.8000,0.00242298
844.6000,0.00242501
844.4000,0.00242525
844.2000,0.00242459
844.0000,0.00242638
843.8000,0.00242973
843.6000,0.00243128
843.4000,0.00243235
843.2000,0.002432
843.0000,0.00243217
842.8000,0.00243265
842.6000,0.0024342
842.4000,0.0024351
842.2000,0.0024345
842.0000,0.00243647
841.8000,0.00243802
841.6000,0.00243802
841.4000,0.00243964
841.2000,0.00243916
841.0000,0.00244184
840.8000,0.00244471
840.6000,0.0024474
840.4000,0.00244919
840.2000,0.0024514
840.0000,0.00245319
839.8000,0.00245516
839.6000,0.00245569
839.4000,0.00245939
839.2000,0.00246208
839.0000,0.00246208
838.8000,0.00246345
838.6000,0.00246459
838.4000,0.00246501
838.2000,0.00246435
838.0000,0.00246596
837.8000,0.0024693
837.6000,0.00247002
837.4000,0.00247109
837.2000,0.00247402
837.0000,0.00247378
836.8000,0.00247671
836.6000,0.00247915
836.4000,0.00248077
836.2000,0.00248256
836.0000,0.00248566
835.8000,0.00248859
835.6000,0.00249175
835.4000,0.00249312
835.2000,0.00249581
835.0000,0.00249611
834.8000,0.00250034
834.6000,0.00250082
834.4000,0.00250136
834.2000,0.00250297
834.0000,0.00250566
833.8000,0.00250661
833.6000,0.00250667
833.4000,0.00250745
833.2000,0.00251013
